"country_name","city","year","pm10_concentration","pm25_concentration","no2_concentration","pm10_tempcov","pm25_tempcov","no2_tempcov","type_of_stations","population","latitude","longitude","who_ms","clean_city","Region"
"United Kingdom of Great Britain and Northern Ireland","Dumfries/GBR",2013,NA,NA,30.105,NA,NA,99,"Urban",33891,55.0700165,-3.6142165,1,"Dumfries","NA"
"United Kingdom of Great Britain and Northern Ireland","Carlisle/GBR",2020,16.378,8.395,18.972,93,97,99,"Urban",108524,54.894834,-2.945307,1,"Carlisle","North West"
"United Kingdom of Great Britain and Northern Ireland","Central Bedfordshire/GBR",2020,15.935,9.091,20.419,81,74,99,"Urban",294096,52.132417,-0.300306,1,"Central Bedfordshire","East of England"
"United Kingdom of Great Britain and Northern Ireland","Exeter/GBR",2013,NA,NA,31.817,NA,NA,99,"Urban",129672,50.7250915,-3.5324825,1,"Exeter","South West"
"United Kingdom of Great Britain and Northern Ireland","Chesterfield/GBR",2020,11.586,7.201,11.5,100,100,96,"Urban, Urban",104930,53.2379265,-1.455945,1,"Chesterfield","East Midlands"
"United Kingdom of Great Britain and Northern Ireland","Glasgow/GBR",2013,22.937,16.038,66.673,NA,NA,96,NA,1673332,55.85917,-4.258889,1,"Glasgow","NA"
"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2020,14.292,7.272,19.163,98,100,98,"Urban, Urban",379387,52.4096355,-1.525155,1,"Coventry","West Midlands"
"United Kingdom of Great Britain and Northern Ireland","Derry And Strabane/GBR",2020,13.7,6.715,7.79,97,97,99,"Urban",151109,55.002818,-7.331179,1,"Derry And Strabane","NA"
"United Kingdom of Great Britain and Northern Ireland","Eastbourne/GBR",2020,14.491,8.708,9.582,98,98,51,"Urban",103324,50.805778,0.271611,1,"Eastbourne","South East"
"United Kingdom of Great Britain and Northern Ireland","Edinburgh/GBR",2020,8.051,4.448,20.385,99,99,81,"Urban, Urban",536775,55.9451745,-3.1830885,1,"Edinburgh","NA"
"United Kingdom of Great Britain and Northern Ireland","Glasgow/GBR",2020,9.071,4.942,23.412,99,99,99,"Urban, Urban, Urban, Urban",1673332,55.8644815,-4.2529175,1,"Glasgow","NA"
"United Kingdom of Great Britain and Northern Ireland","Highland/GBR",2020,7.84,4.271,12.737,96,96,93,"Urban",235430,57.481308,-4.241451,1,"Highland","NA"
"United Kingdom of Great Britain and Northern Ireland","Inverclyde/GBR",2020,9.55,4.851,20.534,100,100,98,"Urban",77060,55.944079,-4.734421,1,"Inverclyde","NA"
"United Kingdom of Great Britain and Northern Ireland","Kensington And Chelsea/GBR",2020,13.257,8.051,20.57,100,100,99,"Urban",156864,51.52105,-0.213492,1,"Kensington And Chelsea","London"
"United Kingdom of Great Britain and Northern Ireland","Lincoln/GBR",2013,NA,NA,43.06,NA,NA,99,"Urban",111892,53.2213865,-0.5341945,1,"Lincoln","East Midlands"
"United Kingdom of Great Britain and Northern Ireland","Kingston Upon Hull/GBR",2020,17.51,8.7,19.534,96,98,99,"Urban, Urban",320825,53.7538755,-0.3234855,1,"Kingston Upon Hull","Yorkshire and The Humber"
"United Kingdom of Great Britain and Northern Ireland","Leeds/GBR",2020,15.47,8.544,20.543,96,95,98,"Urban, Urban",798786,53.811876,-1.5614165,1,"Leeds","Yorkshire and The Humber"
"United Kingdom of Great Britain and Northern Ireland","Manchester/GBR",2013,NA,12.501,38.785,NA,NA,94,NA,2730076,53.48152,-2.237881,1,"Manchester","North West"
"United Kingdom of Great Britain and Northern Ireland","Leicester/GBR",2020,15.054,7.484,23.279,96,99,98,"Urban, Urban",552178,52.62925,-1.1257695,1,"Leicester","East Midlands"
"United Kingdom of Great Britain and Northern Ireland","Manchester/GBR",2020,14.537,8.242,27.077,96,96,99,"Urban",2730076,53.48152,-2.237881,1,"Manchester","North West"
"United Kingdom of Great Britain and Northern Ireland","Newcastle Upon Tyne/GBR",2013,12.644,10.383,42.545,NA,NA,92,NA,809481,54.98028875,-1.6067365,1,"Newcastle Upon Tyne","North East"
"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2020,22.002,10.887,18.544,96,90,98,"Urban",279142,51.374264,0.54797,1,"Medway","South East"
"United Kingdom of Great Britain and Northern Ireland","Monmouthshire/GBR",2020,16.521,9.382,26.21,96,87,99,"Urban",95164,51.638094,-2.678731,1,"Monmouthshire","Wales"
"United Kingdom of Great Britain and Northern Ireland","Nottingham/GBR",2013,21.269,12.235,37.044,NA,NA,96,NA,787610,52.95473,-1.146447,1,"Nottingham","East Midlands"
"United Kingdom of Great Britain and Northern Ireland","Newcastle Upon Tyne/GBR",2020,13.6,7.316,25.959,94,93,99,"Urban, Urban",809481,54.9823275,-1.602945,1,"Newcastle Upon Tyne","North East"
"United Kingdom of Great Britain and Northern Ireland","Newport/GBR",2020,13.296,7.951,14.951,96,96,98,"Urban",316371,51.601203,-2.977281,1,"Newport","Wales"
"United Kingdom of Great Britain and Northern Ireland","Norwich/GBR",2020,12.811,8.288,9.837,99,99,94,"Urban",142177,52.614193,1.301976,1,"Norwich","East of England"
"United Kingdom of Great Britain and Northern Ireland","Nottingham/GBR",2020,15.257,8.699,21.43,99,99,99,"Urban, Urban",787610,52.9620535,-1.167649,1,"Nottingham","East Midlands"
"United Kingdom of Great Britain and Northern Ireland","Preston/GBR",2013,NA,11.626,25.384,NA,85,92,"Urban",328158,53.76559333,-2.680368667,1,"Preston","North West"
"United Kingdom of Great Britain and Northern Ireland","Oxford/GBR",2020,10.753,6.722,19.365,100,100,100,"Urban, Urban",151584,51.7482755,-1.2588705,1,"Oxford","South East"
